Tiempo(s)	Voltaje(V)
0.000000000000000000e+00	-4.585546984744723886e-01
1.000000000000000021e-02	-4.717445669230073690e-01
2.000000000000000042e-02	-4.785003532015252858e-01
2.999999999999999889e-02	-4.794654655270278454e-01
4.000000000000000083e-02	-4.813956901780329645e-01
5.000000000000000278e-02	-4.801088737440295517e-01
5.999999999999999778e-02	-4.797871696355286986e-01
7.000000000000000666e-02	-4.794654655270278454e-01
8.000000000000000167e-02	-4.794654655270278454e-01
8.999999999999999667e-02	-4.794654655270278454e-01
1.000000000000000056e-01	-4.778569449845235795e-01
1.100000000000000006e-01	-4.785003532015252858e-01
1.199999999999999956e-01	-4.781786490930244327e-01
1.300000000000000044e-01	-4.775352408760227263e-01
1.400000000000000133e-01	-4.778569449845235795e-01
1.499999999999999944e-01	-4.762484244420193136e-01
1.600000000000000033e-01	-4.762484244420193136e-01
1.700000000000000122e-01	-4.768918326590210199e-01
1.799999999999999933e-01	-4.759267203335184604e-01
1.900000000000000022e-01	-4.762484244420193136e-01
2.000000000000000111e-01	-4.752833121165167540e-01
2.099999999999999922e-01	-4.756050162250176072e-01
2.200000000000000011e-01	-4.743181997910141945e-01
2.300000000000000100e-01	-4.746399038995150477e-01
2.399999999999999911e-01	-4.743181997910141945e-01
2.500000000000000000e-01	-4.730313833570107818e-01
2.600000000000000089e-01	-4.727096792485099286e-01
2.700000000000000178e-01	-4.727096792485099286e-01
2.800000000000000266e-01	-4.717445669230073690e-01
2.899999999999999800e-01	-4.723879751400090754e-01
2.999999999999999889e-01	-4.714228628145065159e-01
3.099999999999999978e-01	-4.717445669230073690e-01
3.200000000000000067e-01	-4.714228628145065159e-01
3.300000000000000155e-01	-4.714228628145065159e-01
3.400000000000000244e-01	-4.711011587060056627e-01
3.499999999999999778e-01	-4.714228628145065159e-01
3.599999999999999867e-01	-4.707794545975048095e-01
3.699999999999999956e-01	-4.704577504890039563e-01
3.800000000000000044e-01	-4.694926381635013968e-01
3.900000000000000133e-01	-4.701360463805031031e-01
4.000000000000000222e-01	-4.694926381635013968e-01
4.099999999999999756e-01	-4.694926381635013968e-01
4.199999999999999845e-01	-4.685275258379988372e-01
4.299999999999999933e-01	-4.685275258379988372e-01
4.400000000000000022e-01	-4.682058217294979841e-01
4.500000000000000111e-01	-4.678841176209971309e-01
4.600000000000000200e-01	-4.682058217294979841e-01
4.699999999999999734e-01	-4.672407094039954245e-01
4.799999999999999822e-01	-4.665973011869937181e-01
4.899999999999999911e-01	-4.662755970784928650e-01
5.000000000000000000e-01	-4.627368518849834800e-01
5.100000000000000089e-01	-4.537291368469595909e-01
5.200000000000000178e-01	-4.376439314219169319e-01
5.300000000000000266e-01	-4.093339698738418519e-01
5.400000000000000355e-01	-3.877797946042846888e-01
5.500000000000000444e-01	-3.823108247597701848e-01
5.600000000000000533e-01	-3.996828466188162565e-01
5.699999999999999512e-01	-4.250974711903836578e-01
5.799999999999999600e-01	-4.482601670024450868e-01
5.899999999999999689e-01	-4.614500354509800673e-01
5.999999999999999778e-01	-4.653104847529903054e-01
6.099999999999999867e-01	-4.665973011869937181e-01
6.199999999999999956e-01	-4.675624135124962777e-01
6.300000000000000044e-01	-4.717445669230073690e-01
6.400000000000000133e-01	-4.894382928905542940e-01
6.500000000000000222e-01	-5.309381228871643543e-01
6.600000000000000311e-01	-5.875580459833145142e-01
6.700000000000000400e-01	-6.033215472998563200e-01
6.800000000000000488e-01	-4.939421504095662385e-01
6.899999999999999467e-01	-2.040867486502975225e-01
6.999999999999999556e-01	2.112332554243039340e-01
7.099999999999999645e-01	4.878987887350376695e-01
7.199999999999999734e-01	3.968565260292962193e-01
7.299999999999999822e-01	-3.021680837264284492e-03
7.399999999999999911e-01	-4.199502054543700069e-01
7.500000000000000000e-01	-6.589763580705039203e-01
7.600000000000000089e-01	-6.985459634161088616e-01
7.700000000000000178e-01	-6.319532129564322531e-01
7.800000000000000266e-01	-5.515271858312189579e-01
7.900000000000000355e-01	-5.029498654475901276e-01
8.000000000000000444e-01	-4.862212518055457622e-01
8.100000000000000533e-01	-4.830042107205372304e-01
8.199999999999999512e-01	-4.833259148290380836e-01
8.299999999999999600e-01	-4.820390983950346708e-01
8.399999999999999689e-01	-4.833259148290380836e-01
8.499999999999999778e-01	-4.817173942865338176e-01
8.599999999999999867e-01	-4.817173942865338176e-01
8.699999999999999956e-01	-4.817173942865338176e-01
8.800000000000000044e-01	-4.807522819610312581e-01
8.900000000000000133e-01	-4.807522819610312581e-01
9.000000000000000222e-01	-4.759267203335184604e-01
9.100000000000000311e-01	-4.691709340550005436e-01
9.200000000000000400e-01	-4.553376573894638568e-01
9.300000000000000488e-01	-4.334617780114058405e-01
9.399999999999999467e-01	-4.083688575483392924e-01
9.499999999999999556e-01	-3.848844576277770102e-01
9.599999999999999645e-01	-3.784503754577599466e-01
9.699999999999999734e-01	-3.890666110382881016e-01
9.799999999999999822e-01	-4.131944191758520901e-01
9.899999999999999911e-01	-4.398958601814229041e-01
1.000000000000000000e+00	-4.604849231254775077e-01
1.010000000000000009e+00	-4.723879751400090754e-01
1.020000000000000018e+00	-4.781786490930244327e-01
1.030000000000000027e+00	-4.794654655270278454e-01
1.040000000000000036e+00	-4.804305778525304049e-01
1.050000000000000044e+00	-4.801088737440295517e-01
1.060000000000000053e+00	-4.797871696355286986e-01
